"コード","銘柄名","市場","現在値","前日比(%)"
"7795","ＫＹＯＲＩＴＳＵ","東S","203","+0.0(+0.00%)"
"7800","アミファ","東S","947","-7.0(-0.73%)"
"7803","ブシロード","東G","399","-5.0(-1.24%)"
"7804","ビーアンドピー","東S","2269","+3.0(+0.13%)"
"7805","プリントネット","東S","752","-6.0(-0.79%)"
"7806","ＭＴＧ","東G","7300","-230.0(-3.05%)"
"7807","幸和製作所","東S","869","-6.0(-0.69%)"
"7808","シー・エス・ランバー","東S","2672","+2.0(+0.07%)"
"7809","壽屋","東S","1314","+2.0(+0.15%)"
"7810","クロスフォー","東S","155","+2.0(+1.31%)"
"7811","中本パックス","東S","1922","+11.0(+0.58%)"
"7812","クレステック","東S","2190","+0.0(+0.00%)"
"7813","プラッツ","東S","797","-14.0(-1.73%)"
"7814","日本創発グループ","東S","639","-6.0(-0.93%)"
"7815","東京ボード工業","東S","305","-24.0(-7.29%)"
"7818","トランザクション","東P","1234","+32.0(+2.66%)"
"7819","粧美堂","東S","946","-7.0(-0.73%)"
"7820","ニホンフラッシュ","東P","731","+7.0(+0.97%)"
"7821","前田工繊","東P","1966","+81.0(+4.30%)"
"7822","永大産業","東S","238","-1.0(-0.42%)"
"7823","アートネイチャー","東S","909","+24.0(+2.71%)"
"7826","フルヤ金属","東P","5830","-320.0(-5.20%)"
"7827","オービス","東S","1638","+3.0(+0.18%)"
"7831","ウイルコＨＬＤＧ","東S","67","-2.0(-2.90%)"
"7832","バンダイナムコＨＬＤＧ","東P","4747.0","+225.0(+4.98%)"
"7833","アイフィスジャパン","東S","645","+7.0(+1.10%)"
"7836","アビックス","東S","80","+0.0(+0.00%)"
"7837","アールシーコア","東S","340","-7.0(-2.02%)"
"7839","ＳＨＯＥＩ","東P","2012","+32.0(+1.62%)"
"7840","フランスベッドＨＬＤＧ","東P","1297","+22.0(+1.73%)"
"7841","遠藤製作所","東S","1082","+1.0(+0.09%)"
"7844","マーベラス","東P","465","+14.0(+3.10%)"
"7846","パイロットコーポレーション","東P","1858.0","+41.0(+2.26%)"
"7847","グラファイトデザイン","東S","647","+5.0(+0.78%)"
"7849","スターツ出版","東S","3420","+20.0(+0.59%)"
"7850","総合商研","東S","882","-2.0(-0.23%)"
"7851","カワセコンピュータサプライ","東S","185","-8.0(-4.15%)"
"7856","萩原工業","東P","1835","+33.0(+1.83%)"
"7857","セキ","東S","1298","+0.0(+0.00%)"
"7859","アルメディオ","東S","197","-8.0(-3.90%)"
"7860","エイベックス","東P","1351","+31.0(+2.35%)"
"7863","平賀","東S","940","-7.0(-0.74%)"
"7864","フジシールインターナショナル","東P","3150","+35.0(+1.12%)"
"7865","ピープル","東S","340","+4.0(+1.19%)"
"7867","タカラトミー","東P","3720.0","+93.0(+2.56%)"
"7868","広済堂ＨＬＤＧ","東P","511","-9.0(-1.73%)"
"7871","フクビ化学工業","東S","947","+12.0(+1.28%)"
"7872","エステールＨＬＤＧ","東S","605","-3.0(-0.49%)"
"7874","レック","東P","990","+19.0(+1.96%)"
"7875","竹田ｉＰＨＬＤＧ","東S","766","-14.0(-1.79%)"
"7877","永大化工","東S","2163","+3.0(+0.14%)"
"7878","光・彩","東S","1320","-98.0(-6.91%)"
"7879","ノダ","東S","644","-2.0(-0.31%)"
"7883","サンメッセ","東S","390","+0.0(+0.00%)"
"7885","タカノ","東S","1078","-7.0(-0.65%)"
"7886","ヤマト　モビリティ　＆　Ｍｆｇ","東S","730","-20.0(-2.67%)"
"7887","南海プライウッド","東S","1546","+6.0(+0.39%)"
"7888","三光合成","東P","945","+31.0(+3.39%)"
"7893","プロネクサス","東P","1210","+31.0(+2.63%)"
"7896","セブン工業","東S","506","-2.0(-0.39%)"
"7897","ホクシン","東S","101","+0.0(+0.00%)"
"7898","ウッドワン","東S","895","+0.0(+0.00%)"
"7901","マツモト","東S","823","-8.0(-0.96%)"
"7902","ソノコム","東S","1083","-21.0(-1.90%)"
"7906","ヨネックス","東S","2649","+30.0(+1.15%)"
"7908","きもと","東S","227","-6.0(-2.58%)"
"7911","ＴＯＰＰＡＮＨＬＤＧ","東P","4281.0","-110.0(-2.51%)"
"7912","大日本印刷","東P","2991.0","-12.0(-0.40%)"
"7914","共同印刷","東P","1655","+9.0(+0.55%)"
"7915","ＮＩＳＳＨＡ","東P","1325","-28.0(-2.07%)"
"7916","光村印刷","東S","1845","+14.0(+0.76%)"
"7917","ＺＡＣＲＯＳ","東P","1341","-16.0(-1.18%)"
"7918","ヴィアＨＬＤＧ","東S","107","-1.0(-0.93%)"
"7919","野崎印刷紙業","東S","199","-3.0(-1.49%)"
"7921","ＴＡＫＡＲＡ＆ＣＯＭＰＡＮＹ","東P","4550","+125.0(+2.82%)"
"7927","ムトー精工","東S","2308","+6.0(+0.26%)"
"7928","旭化学工業","東S","631","-2.0(-0.32%)"
"7931","未来工業","東P","3420","+60.0(+1.79%)"
"7932","ニッピ","東S","12420","+130.0(+1.06%)"
"7936","アシックス","東P","4800.0","-63.0(-1.30%)"
"7937","ツツミ","東S","2621","-25.0(-0.94%)"
"7938","リーガルコーポレーション","東S","2226","-13.0(-0.58%)"
"7939","研創","東S","620","+5.0(+0.81%)"
"7942","ＪＳＰ","東P","2493","-13.0(-0.52%)"
"7943","ニチハ","東P","3140","+50.0(+1.62%)"
"7944","ローランド","東P","4040","+15.0(+0.37%)"
"7946","光陽社","東S","345","-7.0(-1.99%)"
"7947","エフピコ","東P","2644","+37.0(+1.42%)"
"7949","小松ウオール工業","東P","2789","+36.0(+1.31%)"
"7951","ヤマハ","東P","1288.5","+40.5(+3.25%)"
"7952","河合楽器製作所","東P","3365","+165.0(+5.16%)"
"7953","菊水化学工業","東S","387","-1.0(-0.26%)"
"7955","クリナップ","東P","940","+6.0(+0.64%)"
"7956","ピジョン","東P","2102.5","+100.0(+4.99%)"
"7957","フジコピアン","東S","2030","+52.0(+2.63%)"
"7962","キングジム","東P","807","+0.0(+0.00%)"
"7963","興研","東S","1782","-3.0(-0.17%)"
"7965","象印マホービン","東P","1482","+38.0(+2.63%)"
"7966","リンテック","東P","5900","-220.0(-3.59%)"
"7970","信越ポリマー","東P","2106","-47.0(-2.18%)"
"7971","東リ","東S","662","+6.0(+0.91%)"
"7972","イトーキ","東P","2887","-18.0(-0.62%)"
"7974","任天堂","東P","7986.0","+327.0(+4.27%)"
"7975","リヒトラブ","東S","1112","+1.0(+0.09%)"
"7976","三菱鉛筆","東P","2645","+22.0(+0.84%)"
"7979","松風","東P","2174","+50.0(+2.35%)"
"7980","重松製作所","東S","826","+16.0(+1.98%)"
"7981","タカラスタンダード","東P","3280","+10.0(+0.31%)"
"7983","ミロク","東S","1041","-4.0(-0.38%)"
"7984","コクヨ","東P","904.0","+21.7(+2.46%)"
"7985","ネポン","東S","785","-11.0(-1.38%)"
"7986","日本アイ・エス・ケイ","東S","-","- (-%)"
"7987","ナカバヤシ","東S","592","+10.0(+1.72%)"
"7988","ニフコ","東P","5325.0","+88.0(+1.68%)"
"7989","立川ブラインド工業","東P","2704","+59.0(+2.23%)"
"7990","グローブライド","東P","2552","+76.0(+3.07%)"
"7991","マミヤ・オーピー","東S","1113","+14.0(+1.27%)"
"7992","セーラー万年筆","東S","101","-1.0(-0.98%)"
"7994","オカムラ","東P","2364","+35.0(+1.50%)"
"7995","バルカー","東P","5960","-280.0(-4.49%)"
"7997","くろがね工作所","東S","1030","-2.0(-0.19%)"
"8001","伊藤忠商事","東P","2043.0","+44.5(+2.23%)"
"8002","丸紅","東P","5205.0","-67.0(-1.27%)"
"8005","スクロール","東P","1725","+11.0(+0.64%)"
"8006","ユアサ・フナショク","東S","1599","-10.0(-0.62%)"
"8007","高島","東P","811","+6.0(+0.75%)"
"8008","ヨンドシーＨＬＤＧ","東P","2083","+55.0(+2.71%)"
"8011","三陽商会","東P","4760","+80.0(+1.71%)"
"8012","長瀬産業","東P","1125.0","-17.5(-1.53%)"
"8013","ナイガイ","東S","374","+0.0(+0.00%)"
"8014","蝶理","東P","3975","+60.0(+1.53%)"
"8015","豊田通商","東P","6577.0","+112.0(+1.73%)"
"8016","オンワードＨＬＤＧ","東P","769","+10.0(+1.32%)"
"8018","三共生興","東S","829","+16.0(+1.97%)"
"8020","兼松","東P","2088.5","+2.0(+0.10%)"
"8022","美津濃","東P","3775","+80.0(+2.17%)"
"8023","ＤＡＩＫＯ　ＸＴＥＣＨ","東S","993","+15.0(+1.53%)"
"8025","ツカモトコーポレーション","東S","1339","+34.0(+2.61%)"
"8029","ルックＨＬＤＧ","東S","2663","+20.0(+0.76%)"
"8030","中央魚類","東S","3700","+10.0(+0.27%)"
"8031","三井物産","東P","4918.0","+28.0(+0.57%)"
"8032","日本紙パルプ商事","東P","1122","+7.0(+0.63%)"
"8035","東京エレクトロン","東P","50000.0","-5,920.0(-10.59%)"
"8037","カメイ","東P","3790","+0.0(+0.00%)"
"8039","築地魚市場","東S","3475","+30.0(+0.87%)"
"8040","東京ソワール","東S","1040","-7.0(-0.67%)"
"8041","ＯＵＧ　ＨＬＤＧ","東S","4455","-55.0(-1.22%)"
"8043","スターゼン","東P","1398","+50.0(+3.71%)"
"8045","横浜丸魚","東S","2033","-26.0(-1.26%)"
"8046","丸藤シートパイル","東S","891","+0.0(+0.00%)"
"8050","セイコーグループ","東P","6910","-540.0(-7.25%)"
"8051","山善","東P","1810","+56.0(+3.19%)"
"8052","椿本興業","東P","2891","+31.0(+1.08%)"
"8053","住友商事","東P","1599.0","+7.5(+0.47%)"
"8056","ＢＩＰＲＯＧＹ","東P","5084.0","+161.0(+3.27%)"
"8057","内田洋行","東P","2227","+19.0(+0.86%)"
"8058","三菱商事","東P","4819.0","+43.0(+0.90%)"
"8059","第一実業","東P","3475","+0.0(+0.00%)"
"8060","キヤノンマーケティングジャパン","東P","3639.0","+92.0(+2.59%)"
"8061","西華産業","東P","2498","-50.0(-1.96%)"
"8065","佐藤商事","東P","2932","-41.0(-1.38%)"
"8066","三谷商事","東S","2877","+75.0(+2.68%)"
"8070","東京産業","東P","836","+3.0(+0.36%)"
"8074","ＹＵＡＳＡ","東P","5770","+90.0(+1.58%)"
"8075","神鋼商事","東P","2570","+12.0(+0.47%)"
"8076","カノークス","東S","2073","+11.0(+0.53%)"
"8077","トルク","東S","208","-1.0(-0.48%)"
"8078","阪和興業","東P","1701","+3.0(+0.18%)"
"8079","正栄食品工業","東P","4585","+45.0(+0.99%)"
"8081","カナデン","東P","2434","-43.0(-1.74%)"
"8084","ＲＹＯＤＥＮ","東P","4145","+65.0(+1.59%)"
"8085","ナラサキ産業","東S","4245","+50.0(+1.19%)"
"8086","ニプロ","東P","1669.0","+42.0(+2.58%)"
"8088","岩谷産業","東P","2045.0","+75.5(+3.83%)"
"8089","ナイス","東S","1900","-9.0(-0.47%)"
"8091","ニチモウ","東P","2384","+43.0(+1.84%)"
"8093","極東貿易","東P","1769","-11.0(-0.62%)"
"8095","アステナＨＬＤＧ","東P","511","+3.0(+0.59%)"
"8097","三愛オブリ","東P","2358","+18.0(+0.77%)"
"8098","稲畑産業","東P","4025","+10.0(+0.25%)"
"8101","ＧＳＩクレオス","東P","2745","+22.0(+0.81%)"
"8103","明和産業","東P","926","+10.0(+1.09%)"
"8104","クワザワＨＬＤＧ","東S","679","-8.0(-1.16%)"
"8105","Ｂｉｔｃｏｉｎ　Ｊａｐａｎ","東S","88","-8.0(-8.33%)"
"8107","キムラタン","東S","31","+0.0(+0.00%)"
"8111","ゴールドウイン","東P","2426.0","+54.0(+2.28%)"
"8113","ユニ・チャーム","東P","1050.5","+46.0(+4.58%)"
"8115","ムーンバット","東S","1564","+13.0(+0.84%)"
"8117","中央自動車工業","東S","2017","-61.0(-2.94%)"
"8118","キング","東S","1238","+20.0(+1.64%)"
"8119","三栄コーポレーション","東S","788","-7.0(-0.88%)"
"8123","川辺","東S","1358","-1.0(-0.07%)"
"8125","ワキタ","東P","1927","+37.0(+1.96%)"
"8127","ヤマトインターナショナル","東S","593","+2.0(+0.34%)"
"8129","東邦ＨＬＤＧ","東P","4318.0","+98.0(+2.32%)"
"8130","サンゲツ","東P","3145","+40.0(+1.29%)"
"8131","ミツウロコグループＨＬＤＧ","東S","2143","+73.0(+3.53%)"
"8132","シナネンＨＬＤＧ","東P","6900","+380.0(+5.83%)"
"8133","伊藤忠エネクス","東P","2109","+29.0(+1.39%)"
"8135","ゼット","東S","421","-9.0(-2.09%)"
"8136","サンリオ","東P","1343.0","+52.5(+4.07%)"
"8137","サンワテクノス","東P","3670","-40.0(-1.08%)"
"8138","三京化成","東S","4035","+0.0(+0.00%)"
"8139","ナガホリ","東S","2094","-6.0(-0.29%)"
"8141","新光商事","東P","1572","-8.0(-0.51%)"
"8142","トーホー","東P","1420","+15.0(+1.07%)"
"8143","ラピーヌ","東S","142","-2.0(-1.39%)"
"8144","デンキョーグループＨＬＤＧ","東S","1268","-5.0(-0.39%)"
"8147","トミタ","東S","1396","-59.0(-4.05%)"
"8150","三信電気","東P","2865","-9.0(-0.31%)"
"8151","東陽テクニカ","東P","1917","-7.0(-0.36%)"
"8152","ソマール","東S","7500","+50.0(+0.67%)"
"8153","モスフードサービス","東P","4055","+145.0(+3.71%)"
"8154","加賀電子","東P","4305","-25.0(-0.58%)"
"8157","都築電気","東P","4085","+55.0(+1.36%)"
"8158","ソーダニッカ","東P","1177","+6.0(+0.51%)"
"8159","立花エレテック","東P","3310","-10.0(-0.30%)"
"8160","木曽路","東P","2548","+82.0(+3.33%)"
"8163","ＳＲＳ　ＨＬＤＧ","東P","1440","+92.0(+6.82%)"
"8165","千趣会","東S","110","+2.0(+1.85%)"
"8166","タカキュー","東S","78","+0.0(+0.00%)"
"8167","リテールパートナーズ","東P","1402","+20.0(+1.45%)"
"8173","Ｊｏｓｈｉｎ","東P","4060","+20.0(+0.50%)"
"8174","日本瓦斯","東P","2970.5","+37.5(+1.28%)"
"8179","ロイヤルＨＬＤＧ","東P","1373","+65.0(+4.97%)"
"8181","東天紅","東S","1024","+0.0(+0.00%)"
"8185","チヨダ","東P","1023","+17.0(+1.69%)"
"8194","ライフコーポレーション","東P","2587","+45.0(+1.77%)"
"8198","マックスバリュ東海","東S","3370","+60.0(+1.81%)"
"8200","リンガーハット","東P","2428","+57.0(+2.40%)"
"8202","ラオックスＨＬＤＧ","東S","146","+1.0(+0.69%)"
"8203","ＭｒＭａｘＨＤ","東P","814","+22.0(+2.78%)"
"8207","テンアライド","東S","294","+1.0(+0.34%)"
"8214","ＡＯＫＩ　ＨＬＤＧ","東P","1767","+38.0(+2.20%)"
"8217","オークワ","東P","826","+9.0(+1.10%)"
"8218","コメリ","東P","4065","+435.0(+11.98%)"
"8219","青山商事","東P","762","+22.0(+2.97%)"
"8225","タカチホ","東S","3630","+0.0(+0.00%)"
"8226","理経","東S","348","-2.0(-0.57%)"
"8227","しまむら","東P","3571.0","+133.0(+3.87%)"
"8230","はせがわ","東S","317","-1.0(-0.31%)"
"8233","高島屋","東P","2377.5","+60.0(+2.59%)"
"8237","松屋","東P","1813","+1.0(+0.06%)"
"8242","エイチ・ツー・オー　リテイリン","東P","2950.0","+65.5(+2.27%)"
"8244","近鉄百貨店","東S","1917","+55.0(+2.95%)"
"8247","大和","東S","297","-2.0(-0.67%)"
"8252","丸井グループ","東P","3095.0","+79.0(+2.62%)"
"8253","クレディセゾン","東P","4663.0","+114.0(+2.51%)"
"8254","さいか屋","東S","315","+31.0(+10.92%)"
"8255","アクシアル　リテイリング","東P","1280","+34.0(+2.73%)"
"8260","井筒屋","東S","370","-11.0(-2.89%)"
"8267","イオン","東P","1439.5","+19.5(+1.37%)"
"8273","イズミ","東P","1056","+25.0(+2.42%)"
"8275","フォーバル","東S","1015","+5.0(+0.50%)"
"8276","平和堂","東P","2752","+64.0(+2.38%)"
"8278","フジ","東P","2102","+50.0(+2.44%)"
"8281","ゼビオＨＬＤＧ","東P","1138","+26.0(+2.34%)"
"8282","ケーズＨＬＤＧ","東P","1983.0","+61.0(+3.17%)"
"8283","ＰＡＬＴＡＣ","東P","6630","-10.0(-0.15%)"
"8285","三谷産業","東S","685","+0.0(+0.00%)"
"8291","日産東京販売ＨＬＤＧ","東S","557","+0.0(+0.00%)"
"8303","ＳＢＩ新生銀行","東P","1425.5","-16.0(-1.11%)"
"8304","あおぞら銀行","東P","3074.0","-15.0(-0.49%)"
"8306","三菱ＵＦＪ　ＦＧ","東P","3647.0","-14.0(-0.38%)"
"8308","りそなＨＬＤＧ","東P","2245.5","-19.5(-0.86%)"
"8309","三井住友トラストグループ","東P","6842.0","+73.0(+1.08%)"
"8316","三井住友ＦＧ","東P","6876.0","-58.0(-0.84%)"
"8331","千葉銀行","東P","2685.5","-16.5(-0.61%)"
"8334","群馬銀行","東P","2510.0","-61.0(-2.37%)"
"8336","武蔵野銀行","東P","2627","-79.0(-2.92%)"
"8337","千葉興業銀行","東P","2609","-68.0(-2.54%)"
"8338","筑波銀行","東P","622","-38.0(-5.76%)"
"8341","七十七銀行","東P","3489.0","-91.0(-2.54%)"
"8343","秋田銀行","東P","7270","-320.0(-4.22%)"
"8344","山形銀行","東P","3865","-155.0(-3.86%)"
"8345","岩手銀行","東P","2170","-108.0(-4.74%)"
"8346","東邦銀行","東P","864","-34.0(-3.79%)"
"8349","東北銀行","東S","1463","-27.0(-1.81%)"
"8354","ふくおかＦＧ","東P","7457.0","-93.0(-1.23%)"
"8358","スルガ銀行","東P","2631","-36.0(-1.35%)"
"8359","八十二長野銀行","東P","2532.0","-77.5(-2.97%)"
"8360","山梨中央銀行","東P","6480","-420.0(-6.09%)"
"8361","大垣共立銀行","東P","7340","-510.0(-6.50%)"
"8362","福井銀行","東P","5780","-230.0(-3.83%)"
"8364","清水銀行","東P","2733","-42.0(-1.51%)"
"8365","富山銀行","東S","2301","-61.0(-2.58%)"
"8366","滋賀銀行","東P","2449","-157.0(-6.02%)"
"8367","南都銀行","東P","1757","-137.0(-7.23%)"
"8368","百五銀行","東P","1915","-121.0(-5.94%)"
"8370","紀陽銀行","東P","4805","-95.0(-1.94%)"
"8377","ほくほくＦＧ","東P","7588.0","-108.0(-1.40%)"
"8381","山陰合同銀行","東P","2424","-54.0(-2.18%)"
"8383","鳥取銀行","東S","1767","-7.0(-0.39%)"
"8386","百十四銀行","東P","2790","-134.0(-4.58%)"
"8387","四国銀行","東P","3340","-120.0(-3.47%)"
"8388","阿波銀行","東P","8370","-400.0(-4.56%)"
"8392","大分銀行","東P","2562","-187.0(-6.80%)"
"8393","宮崎銀行","東P","2327","-119.0(-4.87%)"
"8395","佐賀銀行","東P","5580","-240.0(-4.12%)"
"8399","琉球銀行","東P","2926","-99.0(-3.27%)"
"8410","セブン銀行","東P","333.5","+12.8(+3.99%)"
"8411","みずほＦＧ","東P","8112.0","-98.0(-1.19%)"
"8416","高知銀行","東S","1101","-39.0(-3.42%)"
"8418","山口ＦＧ","東P","3000.0","-58.0(-1.90%)"
"8424","芙蓉総合リース","東P","4591.0","+109.0(+2.43%)"
"8425","みずほリース","東P","1368","+30.0(+2.24%)"
"8439","東京センチュリー","東P","2725.0","+41.5(+1.55%)"
"8473","ＳＢＩ　ＨＬＤＧ","東P","2852.0","+34.0(+1.21%)"
"8508","Ｊトラスト","東S","767","-24.0(-3.03%)"
"8511","日本証券金融","東P","2430","-7.0(-0.29%)"
"8518","日本アジア投資","東S","127","-1.0(-0.78%)"
"8522","名古屋銀行","東P","6460","-270.0(-4.01%)"
"8524","北洋銀行","東P","1174","-37.0(-3.06%)"
"8537","大光銀行","東S","2619","-206.0(-7.29%)"
"8541","愛媛銀行","東P","2793","-139.0(-4.74%)"
"8542","トマト銀行","東S","1644","-5.0(-0.30%)"
"8544","京葉銀行","東P","2744","-75.0(-2.66%)"
"8550","栃木銀行","東P","956","-55.0(-5.44%)"
"8551","北日本銀行","東P","6680","-170.0(-2.48%)"
"8558","東和銀行","東P","1363","-38.0(-2.71%)"
"8562","福島銀行","東S","339","-8.0(-2.31%)"
"8563","大東銀行","東S","1020","-22.0(-2.11%)"
"8566","リコーリース","東P","6860","+130.0(+1.93%)"
"8570","イオンフィナンシャルサービス","東P","1583.0","+9.0(+0.57%)"
"8572","アコム","東S","494.0","+5.4(+1.11%)"
"8584","ジャックス","東P","3820","+65.0(+1.73%)"
"8585","オリエントコーポレーション","東P","930","+21.0(+2.31%)"
"8591","オリックス","東P","6496.0","+96.0(+1.50%)"
"8593","三菱ＨＣキャピタル","東P","1518.0","+51.0(+3.48%)"
"8595","ジャフコ　グループ","東P","2280.0","+27.0(+1.20%)"
"8596","九州リースサービス","東S","1560","+59.0(+3.93%)"
"8600","トモニＨＬＤＧ","東P","1011","-26.0(-2.51%)"
"8601","大和証券グループ本社","東P","1838.5","+2.5(+0.14%)"
"8604","野村ＨＬＤＧ","東P","1572.5","+1.5(+0.10%)"
"8609","岡三証券グループ","東P","1034","-5.0(-0.48%)"
"8613","丸三証券","東P","1142","+14.0(+1.24%)"
"8614","東洋証券","東P","670","+3.0(+0.45%)"
"8616","東海東京フィナンシャルＨＬＤＧ","東P","794","-2.0(-0.25%)"
"8617","光世証券","東S","547","-4.0(-0.73%)"
"8622","水戸証券","東P","787","+12.0(+1.55%)"
"8624","いちよし証券","東P","1469","-28.0(-1.87%)"
"8628","松井証券","東P","1105","-1.0(-0.09%)"
"8630","ＳＯＭＰＯ　ＨＬＤＧ","東P","7361.0","+97.0(+1.34%)"
"8697","日本取引所グループ","東P","2290.0","+49.0(+2.19%)"
"8698","マネックスグループ","東P","729","+17.0(+2.39%)"
"8699","ＨＳＨＬＤＧ","東S","1188","+24.0(+2.06%)"
"8700","丸八証券","東S","1953","-41.0(-2.06%)"
"8704","トレイダーズＨＬＤＧ","東S","1209","-33.0(-2.66%)"
"8705","日産証券グループ","東S","218","-2.0(-0.91%)"
"8706","極東証券","東P","1809","+70.0(+4.03%)"
"8707","岩井コスモＨＬＤＧ","東P","4055","-80.0(-1.93%)"
"8708","アイザワ証券グループ","東P","1679","+79.0(+4.94%)"
"8713","フィデアＨＬＤＧ","東P","2148","-14.0(-0.65%)"
"8714","池田泉州ＨＬＤＧ","東P","981","-80.0(-7.54%)"
"8715","アニコムＨＤ","東P","1220","+30.0(+2.52%)"
"8725","ＭＳ＆ＡＤインシュアランスＨＤ","東P","5050.0","+11.0(+0.22%)"
"8729","ソニーフィナンシャルグループ","東P","160.0","+3.9(+2.50%)"
"8737","あかつき本社","東S","598","-3.0(-0.50%)"
"8739","スパークス・グループ","東P","2268","+40.0(+1.80%)"
"8742","小林洋行","東S","550","-1.0(-0.18%)"
"8746","ｕｎｂａｎｋｅｄ","東S","97","+0.0(+0.00%)"
"8747","豊トラスティ証券","東S","2288","-63.0(-2.68%)"
"8750","第一ライフグループ","東P","1936.0","+33.5(+1.76%)"
"8766","東京海上ＨＬＤＧ","東P","8393.0","+159.0(+1.93%)"
"8769","アドバンテッジリスクマネジメン","東S","520","+18.0(+3.59%)"
"8771","イー・ギャランティ","東P","1880","+28.0(+1.51%)"
"8772","アサックス","東S","832","-1.0(-0.12%)"
"8783","ａｂｃ","東S","60","-1.0(-1.64%)"
"8789","フィンテック　グローバル","東S","132","+1.0(+0.76%)"
"8793","ＮＥＣキャピタルソリューション","東P","4205","+95.0(+2.31%)"
"8795","Ｔ＆Ｄ　ＨＬＤＧ","東P","5080.0","+48.0(+0.95%)"
"8798","アドバンスクリエイト","東P","127","+1.0(+0.79%)"
"8801","三井不動産","東P","1627.0","+31.5(+1.97%)"
"8802","三菱地所","東P","4100.0","+50.0(+1.23%)"
"8803","平和不動産","東P","2412","+16.0(+0.67%)"
"8804","東京建物","東P","3528.0","+37.0(+1.06%)"
"8818","京阪神ビルディング","東P","1118","+8.0(+0.72%)"
"8830","住友不動産","東P","3742.0","+11.0(+0.29%)"
"8835","太平洋興発","東S","800","+7.0(+0.88%)"
"8836","ＲＩＳＥ","東S","27","+1.0(+3.85%)"
"8841","テーオーシー","東S","904","-9.0(-0.99%)"
"8844","コスモスイニシア","東S","1348","+19.0(+1.43%)"
"8848","レオパレス２１","東P","696","+27.0(+4.04%)"
"8850","スターツコーポレーション","東P","4885","+60.0(+1.24%)"
"8860","フジ住宅","東P","768","+4.0(+0.52%)"
"8864","空港施設","東S","1038","+28.0(+2.77%)"
"8869","明和地所","東S","846","+16.0(+1.93%)"
"8871","ゴールドクレスト","東S","3400","+40.0(+1.19%)"
"8876","リログループ","東P","2091.5","+45.5(+2.22%)"
"8877","エスリード","東P","5330","+90.0(+1.72%)"
"8881","日神グループＨＬＤＧ","東P","686","+6.0(+0.88%)"
"8887","シーラＨＬＤＧ","東S","374","-1.0(-0.27%)"
"8891","ＡＭＧＨＬＤＧ","東S","2099","-10.0(-0.47%)"
"8892","エスコン","東P","1115","-3.0(-0.27%)"
"8894","ＲＥＶＯＬＵＴＩＯＮ","東S","23","+0.0(+0.00%)"
"8897","ＭＩＲＡＲＴＨＨＬＤＧ","東P","419","+7.0(+1.70%)"
"8898","センチュリー２１・ジャパン","東S","1130","+2.0(+0.18%)"
"8904","ＡＶＡＮＴＩＡ","東S","856","+6.0(+0.71%)"
"8908","毎日コムネット","東S","874","+2.0(+0.23%)"
"8912","エリアクエスト","東S","150","-1.0(-0.66%)"
"8914","エリアリンク","東S","1005","+52.0(+5.46%)"
"8917","ファースト住建","東S","1159","+21.0(+1.85%)"
"8918","ランド","東S","10","+0.0(+0.00%)"
"8919","カチタス","東P","3420","+95.0(+2.86%)"
"8920","東祥","東S","782","+13.0(+1.69%)"
"8923","トーセイ","東P","1817","+27.0(+1.51%)"
"8927","明豊エンタープライズ","東S","463","+2.0(+0.43%)"
"8928","穴吹興産","東S","2274","+30.0(+1.34%)"
"8929","青山財産ネットワークス","東S","1294","+16.0(+1.25%)"
"8931","和田興産","東S","1440","+9.0(+0.63%)"
"8934","サンフロンティア不動産","東P","2582","+34.0(+1.33%)"
"8935","ＦＪネクストＨＬＤＧ","東P","1883","+38.0(+2.06%)"
"8938","グロームＨＬＤＧ","東G","346","+5.0(+1.47%)"
"8944","ランドビジネス","東S","244","+1.0(+0.41%)"
"8945","サンネクスタグループ","東S","1092","-2.0(-0.18%)"
"8946","ＡＳＩＡＮ　ＳＴＡＲ","東S","77","+1.0(+1.32%)"
"8995","誠建設工業","東S","969","-124.0(-11.34%)"
"8996","ハウスフリーダム","東S","1031","+0.0(+0.00%)"
"8999","グランディハウス","東P","551","+7.0(+1.29%)"
"9001","東武鉄道","東P","3198.0","+67.0(+2.14%)"
"9003","相鉄ＨＬＤＧ","東P","2710.0","+46.5(+1.75%)"
"9005","東急","東P","1846.5","+45.0(+2.50%)"
"9006","京浜急行電鉄","東P","1651.5","+31.5(+1.94%)"
"9007","小田急電鉄","東P","1855.0","+48.0(+2.66%)"
"9008","京王電鉄","東P","840.8","+22.5(+2.75%)"
"9009","京成電鉄","東P","1330.5","+23.5(+1.80%)"
"9010","富士急行","東P","2809","+68.0(+2.48%)"
"9012","秩父鉄道","東S","2110","+10.0(+0.48%)"
"9017","新潟交通","東S","2000","-4.0(-0.20%)"
"9020","東日本旅客鉄道","東P","3935.0","+106.0(+2.77%)"
"9021","西日本旅客鉄道","東P","3219.0","+91.0(+2.91%)"
"9022","東海旅客鉄道","東P","4243.0","+153.0(+3.74%)"
"9023","東京地下鉄","東P","1518.0","+35.5(+2.39%)"
"9024","西武ＨＬＤＧ","東P","3761.0","+48.0(+1.29%)"
"9025","鴻池運輸","東P","3025","+53.0(+1.78%)"
"9028","ゼロ","東S","3625","+25.0(+0.69%)"
"9029","ヒガシＨＬＤＧ","東S","1916","-65.0(-3.28%)"
"9031","西日本鉄道","東P","3245.0","+61.0(+1.92%)"
"9033","広島電鉄","東S","622","-2.0(-0.32%)"
